"longitude","latitude","temperature","humidity","skycon","wind_speed","wind_direction","wind_start_longitude","wind_start_latitude","wind_end_longitude","wind_end_latitude"
"117.4992644183299","37.06558275967278",5,"39%","clearnight",2,"N","117.4992644183299","37.06558275967278","117.4993","37.2656"
"117.55634954131453","37.320104630743145",4,"41%","clearnight",2,"N","117.55634954131453","37.320104630743145","117.5563","37.5201"
"117.90735168320553","37.52403702390614",4,"42%","clearnight",2,"N","117.90735168320553","37.52403702390614","117.9074","37.7240"
"118.23581269740367","37.278838214071925",4,"42%","clearnight",2,"N","118.23581269740367","37.278838214071925","118.2358","37.4788"
"117.81295761169469","37.026728159168066",4,"45%","clearnight",2,"N","117.81295761169469","37.026728159168066","117.8130","37.2267"
"117.98168301508157","37.219396860899906",4,"44%","clearnight",2,"N","117.98168301508157","37.219396860899906","117.9817","37.4194"
"117.7448321822458","37.43428460137157",4,"41%","clearnight",2,"N","117.7448321822458","37.43428460137157","117.7448","37.6343"
"117.7662491879399","37.6426472102448",4,"42%","clearnight",2,"NW","117.7662491879399","37.6426472102448","117.6248","37.7841"
"117.80461604928517","37.020136575589135",4,"45%","clearnight",2,"N","117.80461604928517","37.020136575589135","117.8046","37.2201"
"117.89495812223323","37.58687633561751",4,"43%","clearnight",2,"NW","117.89495812223323","37.58687633561751","117.7535","37.7283"
"117.77075231640603","36.92505380244766",4,"44%","clearnight",2,"N","117.77075231640603","36.92505380244766","117.7708","37.1251"
"118.23866687311595","37.285598431791094",4,"42%","clearnight",2,"N","118.23866687311595","37.285598431791094","118.2387","37.4856"
"117.74327303177596","36.92180987782976",4,"40%","clearnight",2,"NE","117.74327303177596","36.92180987782976","117.8847","37.0632"
"118.09342682455437","37.48451541907049",4,"42%","clearnight",2,"N","118.09342682455437","37.48451541907049","118.0934","37.6845"
"118.18759673282395","38.06239836678581",4,"43%","clearnight",2,"NW","118.18759673282395","38.06239836678581","118.0462","38.2038"
"117.80952215578965","37.40981061547241",4,"44%","clearnight",2,"N","117.80952215578965","37.40981061547241","117.8095","37.6098"
"117.94361120402141","37.73644950924419",4,"45%","clearnight",2,"NW","117.94361120402141","37.73644950924419","117.8022","37.8779"
"117.56125804937753","37.94294976064509",4,"42%","clearnight",2,"NW","117.56125804937753","37.94294976064509","117.4198","38.0844"
"117.79030105053712","38.0436676036719",4,"40%","clearnight",2,"NW","117.79030105053712","38.0436676036719","117.6489","38.1851"
"117.49491231196878","37.54509635555471",4,"44%","clearnight",2,"N","117.49491231196878","37.54509635555471","117.4949","37.7451"
"118.02811511305275","37.72713950972183",4,"43%","clearnight",2,"NW","118.02811511305275","37.72713950972183","117.8867","37.8686"
"118.3161419386444","37.22120101252081",4,"43%","clearnight",2,"N","118.3161419386444","37.22120101252081","118.3161","37.4212"
"117.53490803618048","37.50432893343874",4,"44%","clearnight",2,"N","117.53490803618048","37.50432893343874","117.5349","37.7043"
"117.93162300952469","37.949977307801426",4,"42%","clearnight",2,"NW","117.93162300952469","37.949977307801426","117.7902","38.0914"
"117.826168358861","38.183683091389426",5,"44%","clearnight",2,"NW","117.826168358861","38.183683091389426","117.6847","38.3251"
"118.2193245652684","37.06230913533587",4,"40%","clearnight",2,"N","118.2193245652684","37.06230913533587","118.2193","37.2623"
"117.98597591658739","38.05832204162234",5,"44%","clearnight",2,"NW","117.98597591658739","38.05832204162234","117.8446","38.1997"
"117.95454655576752","37.98434275818292",5,"43%","clearnight",2,"NW","117.95454655576752","37.98434275818292","117.8131","38.1258"
"117.5017023652646","37.57723929023213",4,"42%","clearnight",2,"NW","117.5017023652646","37.57723929023213","117.3603","37.7187"
"117.81089852762285","37.85956308884242",4,"42%","clearnight",2,"NW","117.81089852762285","37.85956308884242","117.6695","38.0010"
"117.95298525421235","37.79032987358774",4,"45%","clearnight",2,"NW","117.95298525421235","37.79032987358774","117.8116","37.9318"
"118.14353181774261","37.29695678800668",4,"45%","clearnight",2,"N","118.14353181774261","37.29695678800668","118.1435","37.4970"
"117.65457763239937","37.73037008615014",4,"40%","clearnight",2,"NW","117.65457763239937","37.73037008615014","117.5132","37.8718"
"118.13238050287876","37.67624555626505",4,"44%","clearnight",2,"NW","118.13238050287876","37.67624555626505","117.9910","37.8177"
"117.59080411488875","37.86476677261668",4,"42%","clearnight",2,"NW","117.59080411488875","37.86476677261668","117.4494","38.0062"
"117.9824965954989","37.93328758811799",4,"44%","clearnight",2,"NW","117.9824965954989","37.93328758811799","117.8411","38.0747"
"117.85199165877331","37.43422135112494",4,"43%","clearnight",2,"N","117.85199165877331","37.43422135112494","117.8520","37.6342"
"117.89807080804002","37.606088408205764",4,"43%","clearnight",2,"NW","117.89807080804002","37.606088408205764","117.7566","37.7475"
"117.74906592371697","37.03961373087754",4,"39%","clearnight",2,"N","117.74906592371697","37.03961373087754","117.7491","37.2396"
